1	146	0.065	3.14	833.3	9.88
2	48	0.231	2.73	320.1	0.99
3	85	0.130	2.97	274.0	4.05
4	96	0.184	3.23	268.2	0.61
5	66	0.097	2.62	778.5	9.92
6	73	0.136	2.86	366.0	11.44
7	127	0.081	3.12	236.7	3.89
8	67	0.120	2.73	944.2	10.80
9	92	0.133	3.05	168.9	0.59
10	36	0.149	2.28	266.8	2.71
11	53	0.181	2.70	265.7	0.42
12	107	0.032	1.06	247.2	5.62
13	78	0.103	2.79	277.0	2.18
14	68	0.114	2.73	304.1	0.61
15	51	0.225	2.76	600.9	8.36
16	46	0.162	2.53	263.8	0.39
17	135	0.063	3.06	955.6	9.01
18	65	0.074	2.50	757.5	6.10
19	84	0.097	2.84	231.5	3.64
20	83	0.101	2.84	286.9	0.49
21	24	0.284	2.23	346.8	1.43
22	231	0.088	3.67	243.5	1.24
23	71	0.114	2.76	299.8	0.38
24	87	0.095	2.86	994.2	10.45
25	118	0.169	3.37	260.5	0.66
26	87	0.214	3.21	581.9	8.05
27	76	0.094	2.73	473.4	5.46
28	128	0.093	3.18	195.4	0.53
29	69	0.083	2.60	262.0	0.64
30	57	0.091	2.48	301.6	0.60
31	54	0.089	2.41	295.0	0.81
32	211	0.140	3.80	249.0	0.39
33	46	0.184	2.59	272.0	2.99
34	53	0.167	2.67	154.5	0.85
