25,0.0087586,0.9749+0.0032175i,0.92555+0.068578i,0.99939+0.05074i,0.982-0.0023506i,1-1.3686e-32i,0.96652+0.036855i,1-1.3802e-31i,1-1.4968e-35i,1.0198+0.019938i,0.97847+0.02167i,0.96311+0.036895i,1+4.0331e-35i,1+1.4444e-34i,0.94129+0.060371i,1.0083+0.024148i,0.99451+0.013138i,0.9822+0.039484i,0.99415+0.018789i,1-1.5829e-33i,1-8.6374e-33i,1-1.3166e-34i,0.83091+0.074431i,1-5.2537e-33i,1-2.5142e-32i,0.98904+0.010961i,0.95946+0.090711i,1+2.5901e-32i,0.99803+0.012128i,0.99887+0.023174i,1.0095+0.031518i,0.1716-0.10618i,0.45008+0.45862i,0.96735+0.023447i,1+2.3498e-31i
47,0.0062759,0.97483+0.0033142i,0.92124+0.066909i,0.96665+0.061909i,0.982-0.0023506i,1-1.3686e-32i,0.95738+0.09728i,1-1.3802e-31i,0.98261+0.013161i,1.0138+0.022674i,0.96377+0.022152i,0.96311+0.036897i,0.99109-0.00011912i,0.98067+0.017386i,0.92878+0.071186i,0.97129+0.029524i,0.98379+0.029462i,0.98247+0.039127i,0.95125+0.048439i,0.98922+0.018033i,1-8.6374e-33i,1.0037+0.0089368i,0.83181+0.074608i,0.99452+0.010036i,0.9919+0.0065888i,0.96613+0.045114i,0.94095+0.087416i,1+2.5901e-32i,1.001+0.016779i,0.99887+0.023173i,1.0042+0.037142i,0.16926-0.10937i,0.45915+0.4655i,0.95024+0.058872i,0.97605+0.030033i
67,0.0078276,0.97482+0.0033174i,0.90708+0.070461i,0.96567+0.075507i,0.96598-0.01654i,1-1.3686e-32i,0.95731+0.097074i,1-1.3802e-31i,0.97997+0.014705i,1.0091+0.027117i,0.94822+0.016512i,0.95258+0.045546i,0.99109-0.00011912i,0.97851+0.021566i,0.91534+0.069278i,0.96986+0.035129i,0.97661+0.049158i,0.97061+0.056437i,0.96006+0.060963i,0.98002+0.049754i,1.0114+0.011161i,1.0076+0.019681i,0.82585+0.067516i,0.99845+0.01657i,0.9919+0.0065888i,0.97117+0.050743i,0.93689+0.10077i,1+2.5901e-32i,1.001+0.016768i,1.0013+0.025127i,1.0043+0.037093i,0.16916-0.10948i,0.45915+0.4655i,0.95005+0.05847i,0.95947+0.044723i
