25,0.001,0.97514+0.0029533i,0.92359+0.068289i,0.99678+0.041093i,0.98381-0.0022563i,1-1.3686e-32i,0.96651+0.036858i,1-1.3802e-31i,1-1.4968e-35i,1.0198+0.019938i,0.97847+0.02167i,0.9726+0.03947i,0.99109-0.00011912i,1+1.4444e-34i,0.94123+0.060353i,1.0083+0.024148i,0.99451+0.013138i,0.99295+0.030151i,1+2.1658e-33i,1-1.5829e-33i,1-8.6374e-33i,1-1.3166e-34i,0.844+0.073145i,1-5.2537e-33i,1-2.5142e-32i,0.98904+0.010961i,0.9539+0.058047i,1+2.5901e-32i,0.99803+0.012128i,0.99886+0.023199i,1.0095+0.031518i,0.17969-0.097457i,0.45343+0.45284i,0.96734+0.023452i,1+2.3498e-31i
47,0.001,0.97507+0.0030468i,0.92124+0.066907i,0.96894+0.058821i,0.98389-0.0021648i,1-1.3686e-32i,0.95204+0.074541i,1-1.3802e-31i,0.97996+0.014704i,1.0128+0.024964i,0.96377+0.022152i,0.96311+0.036896i,0.99109-0.00011912i,0.98067+0.017386i,0.92876+0.071199i,0.97129+0.029526i,0.98379+0.029463i,0.98247+0.039126i,0.98705+0.047541i,0.99518+0.014506i,1-8.6374e-33i,1.0037+0.0089368i,0.83156+0.074601i,0.99452+0.010036i,1-2.5142e-32i,0.96613+0.045114i,0.94092+0.087424i,1+2.5901e-32i,1.001+0.016779i,0.99887+0.023173i,1.0043+0.037119i,0.17744-0.10055i,0.45843+0.45958i,0.95023+0.058869i,0.97605+0.030033i
67,0.001,0.97506+0.0030547i,0.91076+0.071319i,0.96567+0.075506i,0.96773-0.016842i,0.99787+0.00046095i,0.9573+0.097069i,1-1.3802e-31i,0.97997+0.014706i,1.0091+0.027117i,0.94829+0.017085i,0.95257+0.045544i,0.99109-0.00011912i,0.97851+0.021566i,0.92256+0.069496i,0.96987+0.035135i,0.97702+0.037383i,0.97048+0.056858i,0.96008+0.060968i,0.98002+0.049759i,1.0042+0.0027159i,1.0037+0.0089368i,0.82831+0.071378i,0.99845+0.01657i,0.9919+0.0065888i,0.97129+0.05078i,0.93699+0.10088i,1+2.5901e-32i,1.001+0.016768i,0.99888+0.023147i,1.0043+0.037112i,0.1771-0.1008i,0.46093+0.4583i,0.95005+0.058472i,0.95947+0.044724i
25,0.0013103,0.9749+0.0032131i,0.92359+0.068289i,0.99678+0.041093i,0.98212-0.001882i,1-1.3686e-32i,0.96651+0.036858i,1-1.3802e-31i,1-1.4968e-35i,1.0198+0.019938i,0.97847+0.02167i,0.9726+0.03947i,0.99109-0.00011912i,0.99177+0.010958i,0.94123+0.060353i,1.0083+0.024148i,0.99451+0.013138i,0.99295+0.030151i,0.99096+0.0085517i,1-1.5829e-33i,1-8.6374e-33i,1-1.3166e-34i,0.84423+0.073124i,1-5.2537e-33i,1-2.5142e-32i,0.98904+0.010961i,0.9539+0.058047i,1+2.5901e-32i,0.99803+0.012128i,0.99886+0.023199i,1.0095+0.031518i,0.17172-0.10603i,0.4536+0.45879i,0.96734+0.023452i,1+2.3498e-31i
47,0.0013103,0.97508+0.0030456i,0.92123+0.066906i,0.96897+0.058849i,0.98389-0.0021648i,1-1.3686e-32i,0.95204+0.07454i,1-1.3802e-31i,0.98261+0.013162i,1.0138+0.022674i,0.96377+0.022152i,0.96311+0.036896i,0.99109-0.00011912i,0.98067+0.017386i,0.92876+0.071199i,0.97129+0.029526i,0.98379+0.029462i,0.98247+0.039126i,0.98705+0.047541i,0.98922+0.018033i,1-8.6374e-33i,1.0037+0.0089368i,0.83154+0.074612i,0.99452+0.010036i,1-2.5142e-32i,0.96613+0.045114i,0.94092+0.087433i,1+2.5901e-32i,1.001+0.016779i,0.99887+0.023173i,1.0042+0.037142i,0.17748-0.1005i,0.45843+0.45958i,0.95023+0.058873i,0.97605+0.030033i
67,0.0013103,0.97506+0.0030547i,0.91076+0.071319i,0.96567+0.075506i,0.96773-0.016842i,0.99787+0.00046095i,0.9573+0.097069i,1-1.3802e-31i,0.97997+0.014706i,1.0091+0.027117i,0.94829+0.017085i,0.95257+0.045544i,0.99109-0.00011912i,0.97851+0.021566i,0.92256+0.069496i,0.96987+0.035135i,0.97702+0.037383i,0.97048+0.056858i,0.96008+0.060968i,0.98002+0.049759i,1.0042+0.0027159i,1.0037+0.0089368i,0.82831+0.071378i,0.99845+0.01657i,0.9919+0.0065888i,0.97129+0.05078i,0.93699+0.10088i,1+2.5901e-32i,1.001+0.016768i,0.99888+0.023147i,1.0043+0.037112i,0.1771-0.1008i,0.46093+0.4583i,0.95005+0.058472i,0.95947+0.044724i
25,0.0016207,0.9749+0.0032131i,0.92359+0.068289i,0.99678+0.041093i,0.98212-0.001882i,1-1.3686e-32i,0.96651+0.036858i,1-1.3802e-31i,1-1.4968e-35i,1.0198+0.019938i,0.97847+0.02167i,0.9726+0.03947i,0.99109-0.00011912i,0.99177+0.010958i,0.94123+0.060353i,1.0083+0.024148i,0.99451+0.013138i,0.99295+0.030151i,0.99096+0.0085517i,1-1.5829e-33i,1-8.6374e-33i,1-1.3166e-34i,0.84423+0.073124i,1-5.2537e-33i,1-2.5142e-32i,0.98904+0.010961i,0.9539+0.058047i,1+2.5901e-32i,0.99803+0.012128i,0.99886+0.023199i,1.0095+0.031518i,0.17172-0.10603i,0.4536+0.45879i,0.96734+0.023452i,1+2.3498e-31i
47,0.0016207,0.97508+0.0030456i,0.92123+0.066906i,0.96897+0.058849i,0.98389-0.0021648i,1-1.3686e-32i,0.95204+0.07454i,1-1.3802e-31i,0.98261+0.013162i,1.0138+0.022674i,0.96377+0.022152i,0.96311+0.036896i,0.99109-0.00011912i,0.98067+0.017386i,0.92876+0.071199i,0.97129+0.029526i,0.98379+0.029462i,0.98247+0.039126i,0.98705+0.047541i,0.98922+0.018033i,1-8.6374e-33i,1.0037+0.0089368i,0.83154+0.074612i,0.99452+0.010036i,1-2.5142e-32i,0.96613+0.045114i,0.94092+0.087433i,1+2.5901e-32i,1.001+0.016779i,0.99887+0.023173i,1.0042+0.037142i,0.17748-0.1005i,0.45843+0.45958i,0.95023+0.058873i,0.97605+0.030033i
67,0.0016207,0.97507+0.00305i,0.90707+0.070453i,0.96567+0.075508i,0.97241-0.011844i,0.99787+0.00046095i,0.95733+0.097091i,1-1.3802e-31i,0.97997+0.014706i,1.0091+0.027117i,0.94831+0.017073i,0.9526+0.045583i,0.99109-0.00011912i,0.97852+0.021566i,0.9225+0.069573i,0.96986+0.035131i,0.97702+0.037383i,0.97047+0.056859i,0.9514+0.048482i,0.98002+0.04976i,1.0042+0.0027159i,1.0076+0.019683i,0.8283+0.071365i,0.99845+0.01657i,0.9919+0.0065888i,0.97128+0.050782i,0.93699+0.10089i,1+2.5901e-32i,1.001+0.016768i,0.99888+0.023147i,1.0043+0.037112i,0.17733-0.10065i,0.46093+0.4583i,0.95005+0.058474i,0.95947+0.044727i
25,0.001931,0.9749+0.0032131i,0.92359+0.068289i,0.99678+0.041093i,0.98212-0.001882i,1-1.3686e-32i,0.96651+0.036858i,1-1.3802e-31i,1-1.4968e-35i,1.0198+0.019938i,0.97847+0.02167i,0.9726+0.03947i,0.99109-0.00011912i,1+1.4444e-34i,0.94123+0.060353i,1.0083+0.024148i,0.99451+0.013138i,0.9822+0.039484i,0.99415+0.018789i,1-1.5829e-33i,1-8.6374e-33i,1-1.3166e-34i,0.84423+0.073124i,1-5.2537e-33i,1-2.5142e-32i,0.98904+0.010961i,0.9539+0.058047i,1+2.5901e-32i,0.99803+0.012128i,0.99886+0.023199i,1.0095+0.031518i,0.17172-0.10603i,0.4536+0.45879i,0.96734+0.023452i,1+2.3498e-31i
