0.68801,0.70867,0.66124,0.61462,0.68408,0.71031,0.61484,0.63831,0.71319
0.68754,0.66429,0.66223,0.61621,0.64354,0.57465,0.63643,0.59433,0.6146
0.66649,0.64388,0.63915,0.61372,0.59426,0.56655,0.61329,0.57127,0.58814
0.64449,0.64296,0.63449,0.61182,0.59191,0.54487,0.58884,0.58958,0.54165
0.64405,0.64283,0.6161,0.61235,0.59138,0.52091,0.58971,0.56512,0.5195
0.64381,0.64379,0.61569,0.61144,0.58925,0.54168,0.58815,0.56266,0.51714
0.64398,0.64374,0.63354,0.61157,0.59077,0.54164,0.58818,0.56328,0.51679
0.64405,0.64387,0.63371,0.61183,0.59097,0.54152,0.58852,0.56384,0.51764
0.64405,0.64345,0.63371,0.61201,0.56869,0.54041,0.56853,0.54345,0.51779
0.64398,0.64252,0.63365,0.612,0.56861,0.54045,0.56873,0.54313,0.51811
0.64414,0.64265,0.63378,0.61223,0.56879,0.52231,0.56879,0.54318,0.51839
0.64414,0.64264,0.63384,0.6122,0.56881,0.51997,0.56864,0.543,0.51773
0.64416,0.62234,0.61178,0.61212,0.56838,0.51812,0.56826,0.54277,0.51727
