25,0.01,0.32241,0.16228,0.4456,0.36119,0.062079,0.20921,0.31291,0.3762,0.11579,0.16481,0.55293,0.44437,0.30011,0.4069,0.18989,0.090563,0.21585,0.29574,0.33326,0.51256,0.35419,1,0.19747,0.28155,0.15772,0.060031,0.08047,0.40122,0.24326,0.30899,0.11802,0.61418,0.17236,1,0.42007
47,0.01,0.27352,0.14836,0.43444,0.30643,0.060956,0.19074,0.29729,0.45981,0.12847,0.16481,0.47428,0.44428,0.23859,0.19267,0.17929,0.088934,0.19736,0.2645,0.33326,0.51256,0.28324,0.51605,0.17883,0.22153,0.16028,0.058997,0.078679,0.24316,0.24326,0.30899,0.11407,0.61418,0.13331,0.60808,0.42007
65,0.01,0.26804,0.15655,0.4109,0.33616,0.059726,0.18423,0.28577,0.45949,0.12881,0.16481,0.47342,0.38968,0.23488,0.18452,0.17488,0.088934,0.17664,0.2645,0.35009,0.47231,0.26596,0.479,0.17983,0.217,0.15746,0.059104,0.078557,0.25141,0.2215,0.31703,0.11416,0.61324,0.13522,0.60761,0.42007
25,0.013103,0.32241,0.16228,0.4456,0.36119,0.062079,0.20921,0.31291,0.3762,0.11579,0.16481,0.55293,0.44437,0.30011,0.4069,0.18989,0.090563,0.21585,0.29574,0.33326,0.51256,0.35419,1,0.19747,0.28155,0.15772,0.060031,0.08047,0.40122,0.24326,0.30899,0.11802,0.61418,0.17236,1,0.42007
47,0.013103,0.27253,0.14836,0.42327,0.30692,0.061238,0.1835,0.28665,0.46032,0.12847,0.16481,0.47433,0.41614,0.2378,0.19281,0.18358,0.088934,0.18816,0.2645,0.33326,0.51256,0.27427,0.52136,0.1905,0.22705,0.15876,0.059206,0.078012,0.24495,0.24326,0.31172,0.11392,0.61418,0.14553,0.60768,0.42007
65,0.013103,0.26797,0.15246,0.41078,0.32639,0.059722,0.18645,0.28592,0.4597,0.12807,0.17281,0.47354,0.38971,0.2366,0.18816,0.16885,0.088934,0.17604,0.26529,0.35009,0.47383,0.26594,0.47789,0.17993,0.217,0.15777,0.059143,0.07791,0.24879,0.21395,0.32236,0.11327,0.61444,0.13508,0.61395,0.42007
25,0.016207,0.32241,0.16228,0.4456,0.36119,0.062079,0.20921,0.31291,0.3762,0.11579,0.16481,0.55293,0.44437,0.30011,0.4069,0.18989,0.090563,0.21585,0.29574,0.33326,0.51256,0.35419,1,0.19747,0.28155,0.15772,0.060031,0.08047,0.40122,0.24326,0.30899,0.11802,0.61418,0.17236,1,0.42007
47,0.016207,0.27215,0.14572,0.42419,0.3063,0.061405,0.18808,0.29729,0.45981,0.12787,0.16481,0.47428,0.41756,0.23874,0.17498,0.18486,0.088934,0.19114,0.2645,0.33326,0.51256,0.26139,0.52001,0.19069,0.23049,0.16028,0.059899,0.078155,0.24337,0.24326,0.3132,0.11436,0.61418,0.14449,0.6031,0.42007
65,0.016207,0.267,0.14635,0.4015,0.32651,0.062,0.18645,0.28592,0.4597,0.12807,0.17281,0.47354,0.39149,0.23659,0.18833,0.16874,0.088934,0.17676,0.26795,0.33326,0.47383,0.25788,0.47772,0.17954,0.22002,0.15777,0.05774,0.07791,0.2488,0.2138,0.32244,0.11299,0.61439,0.1344,0.61395,0.42007
25,0.01931,0.32241,0.16228,0.4456,0.36119,0.062079,0.20921,0.31291,0.3762,0.11579,0.16481,0.55293,0.44437,0.30011,0.4069,0.18989,0.090563,0.21585,0.29574,0.33326,0.51256,0.35419,1,0.19747,0.28155,0.15772,0.060031,0.08047,0.40122,0.24326,0.30899,0.11802,0.61418,0.17236,1,0.42007
