1	1529.42	37.724287	-80.641468	1364
2	750.19	39.579492	-85.158018	522
3	611.26	39.328961	-82.087643	943
4	603.12	39.200051	-85.925546	1707
5	1679.49	39.029269	-79.935908	406
6	642.49	37.47981	-83.675192	722
7	400.42	37.767285	-85.703848	1299
8	2085.89	38.185953	-80.130622	540
9	392.29	38.63477	-88.297266	1131
10	610.96	37.119228	-85.393852	188
11	657.77	40.048931	-86.899451	509
12	600.47	37.864803	-83.933532	362
13	688.52	38.390908	-84.30299	621
14	713.69	39.700617	-83.110186	534
15	1416.53	41.963398	-78.386128	550
16	754.27	41.055886	-83.687988	346
17	2208.04	36.647349	-80.978968	1131
18	1816.04	37.037626	-80.556723	300
19	448.04	36.122003	-87.098893	681
20	774.56	40.576151	-85.659422	682
21	976.72	40.734225	-81.352057	175
22	465.59	38.927546	-87.011396	4688
23	886.9	40.419504	-83.197137	567
24	1589.66	39.122883	-79.681174	722
25	550.67	38.982553	-85.899144	2341
26	1358.00	42.156452	-78.715308	1608
27	973.14	40.994509	-79.394208	528
28	445.75	38.936432	-88.022535	1516
29	685.1	41.504495	-84.429671	410
30	792.25	40.850611	-83.256308	298
31	595.14	41.38199	-82.316827	262
32	595.71	41.500052	-83.712714	6330
33	510.6	38.803683	-83.421022	387
34	383.15	38.358333	-88.584722	464
